lith	DT24/DTC	DT/GR	GR	GR_silica	GR_clay	M2R2	M2R3	M2R6	M2R9	M2RX	F	ZDEN	ZDENm	CNCF	CNCFm	CNCF_clay	TM	TP	TN	PE	SP	GR_m	clay	silica	carbonate
3	69.169	0.49971	138.419	1.07664	0.92616	375.157	313.495	312.309	292.175	287.83	1.3034	2.632	0.77143	32.026	0.71111	1.06217	0.98803	0.89129	5.05118	3.88	0.44525	0.73715	85.96398	11.96292	2.0731
3	64.075	0.42119	152.129	0.94295	1.05874	118.595	119.211	123.112	126.867	128.848	0.92043	2.688	0.87143	23.803	0.50533	1.4421	1.01329	0.8816	5.23081	2.681	0.4654	0.83365	68.35262	31.26453	0.38285
4	77.877	0.7636	101.987	1.4204	0.64906	36.998	57.228	98.022	156.507	194.343	0.19037	2.302	0.18214	43.567	0.99992	0.44141	1.00806	0.89402	5.13933	3.4	0.71877	0.48069	66.82616	30.67887	2.49497
7	63.801	0.4889	130.5	1.1534	0.85728	318.811	328.828	298.06	269.523	262.628	1.21393	2.656	0.81429	24.123	0.51334	1.35114	1.02365	0.88548	5.26484	3.6	0.42713	0.6814	66.31675	27.8326	5.85065
3	84.433	0.77496	108.951	1.35703	0.6947	20.471	28.016	44.301	61.352	75.666	0.27054	2.203	0.00536	37.153	0.83941	0.43428	0.9727	0.77756	5.22	2.89	0.28068	0.52971	65.78016	34.21984	0
3	72.317	0.44486	162.563	0.84179	1.17222	29.394	30.677	32.469	33.271	33.726	0.87155	2.643	0.79107	27.376	0.59474	1.21692	0.95848	0.83591	5.1833	2.442	0.50805	0.9071	64.26478	34.92345	0.81177
3	62.122	0.47618	130.459	1.1538	0.85694	479.676	384.669	384.666	366.446	361.179	1.32808	2.739	0.9625	27.673	0.60218	1.43379	1.01474	0.91862	5.04804	2.6	0.38837	0.68111	62.3	37.7	0
3	68.02	0.48395	140.553	1.05586	0.94565	101.506	90.132	80.246	76.479	75.175	1.35026	2.645	0.79464	28.312	0.61817	1.193	0.99391	0.87751	5.15146	3.88	0.21427	0.75217	62	37	1
3	66.707	0.41595	160.372	0.86293	1.14742	66.628	70.578	85.006	94.527	98.292	0.67786	2.687	0.86964	24.983	0.53486	1.39764	0.99338	0.86822	5.19681	2.021	0.51965	0.89168	61.97643	37.13082	0.89275
3	69.404	0.48634	142.706	1.03487	0.96573	29.424	29.374	30.43	30.885	31.097	0.9462	2.589	0.69464	17.402	0.34515	1.41835	0.99769	0.80473	5.12	1.677	0.4742	0.76732	61.95693	35.97149	2.07158
3	79.053	1.0446	75.678	1.64527	0.50209	6.292	10.893	15.16	17.395	18.286	0.34409	2.379	0.31964	33.866	0.75716	0.64564	0.9714	0.81342	5.37018	3.22	0.21385	0.29549	61.12	38.88	0
3	79.053	1.0446	75.678	1.64527	0.50209	6.292	10.893	15.16	17.395	18.286	0.34409	2.379	0.31964	33.866	0.75716	0.64564	0.9714	0.81342	5.37018	3.22	0.21385	0.29549	61.12	38.88	0
3	66.088	0.45838	144.178	1.02051	0.9797	95.013	92.13	96.873	100.187	101.28	0.93812	2.716	0.92143	28.733	0.6287	1.34007	0.99081	0.89532	5.04487	3.352	0.51624	0.77769	60.57328	38.1918	1.23492
3	69.247	0.44041	157.233	0.89332	1.11281	92.781	94.88	100.784	104.455	107.009	0.86704	2.633	0.77321	29.904	0.65801	1.1221	0.98712	0.87729	5.11771	2.87	0.45638	0.86958	58.60191	38.17997	3.21812
4	65.696	0.50604	129.825	1.15991	0.85165	72.646	67.588	67.37	67.37	67.37	1.07831	2.35	0.26786	39.751	0.90443	0.5291	1.09802	0.97128	5.20498	2.8	0.34985	0.67665	58.43545	35.91321	5.65134
4	75.316	0.66895	112.589	1.32339	0.71981	72.481	100.114	156.281	268.199	325.626	0.22259	2.41	0.375	39.708	0.90335	0.58957	0.99791	0.88974	5.10919	2.8	0.80874	0.55532	58.038	35.11434	6.84766
4	63.479	0.43089	147.319	0.98986	1.01019	71.062	71.352	70.823	71.639	71.248	0.99739	2.609	0.73036	27.464	0.59695	1.14272	1.03854	0.90743	5.22784	2.939	0.10587	0.7998	57	42	1
4	67.149	0.55851	120.229	1.25167	0.77552	245.49	189.007	156.19	144.398	140.873	1.74263	2.726	0.93929	30.287	0.66759	1.31218	0.97998	0.89658	4.9842	2.48	0.28519	0.6091	56.69093	39.44536	3.86371
3	66.828	0.41729	160.146	0.86511	1.14489	136.653	121.315	107.107	101.461	99.721	1.37035	2.678	0.85357	25.717	0.55323	1.35032	0.99476	0.87154	5.1867	2.48	0.37102	0.89009	56	39	5
7	62.799	0.48855	128.541	1.17228	0.84105	261.006	205.719	180.406	165.763	161.605	1.61509	2.668	0.83571	21.9	0.45771	1.45937	1.02791	0.88034	5.31459	2.4	0.40314	0.66761	54.7	44.9	0.4
4	66.479	0.43337	153.401	0.93057	1.07196	142.652	163.457	158.218	157.587	160.28	0.89002	2.634	0.775	26.975	0.58471	1.2096	1.00903	0.88169	5.20812	3.11	0.54585	0.84261	54	31	15
7	65.421	0.50498	129.551	1.16256	0.84938	83.655	81.582	86.267	89.187	90.261	0.92681	2.717	0.92321	17.907	0.35778	1.76021	0.9957	0.83904	5.36307	2.27	0.8136	0.67472	53	33	14
3	54.609	0.3107	175.763	0.7165	1.33337	211.109	283.021	398.182	501.24	566.401	0.37272	2.736	0.95714	24.266	0.51692	1.55306	1.06675	0.94989	5.15384	1.364	0.35294	1.00002	51.90252	47.76802	0.32946
3	60.813	0.42609	142.723	1.0347	0.96589	140.086	140.47	144.801	149.605	152.032	0.92142	2.757	0.99464	25.906	0.55796	1.54757	1.01965	0.91751	5.07848	3.684	0.45632	0.76744	50	45	5
3	69.862	0.44802	155.935	0.90592	1.0988	109.6	110.45	118.303	122.988	125.554	0.87293	2.655	0.8125	27.831	0.60613	1.22921	0.97623	0.85955	5.15286	3.136	0.45605	0.86045	48.39122	39.74677	11.86201
7	63.647	0.85045	74.839	1.65202	0.498	159.281	159.281	159.281	157.607	157.573	1.01084	2.695	0.88393	12.922	0.23303	1.91726	1.01468	0.82682	5.53305	2.02	0.3683	0.28959	47.32771	40.48791	12.18438
3	68.144	0.43389	157.054	0.89506	1.11087	172.498	157.027	142.345	134.811	132.628	1.30062	2.624	0.75714	27.619	0.60083	1.1692	0.99849	0.87233	5.20198	3.07	0.39917	0.86832	47	49	4
3	65.939	0.42154	156.424	0.90117	1.10406	55.499	59.073	65.005	67.586	68.893	0.80558	2.673	0.84464	24.872	0.53208	1.36692	1.00298	0.87356	5.219	2.304	0.52154	0.86389	47	48	5
10	65.357	0.85359	76.567	1.63809	0.50647	131.632	119.937	113.233	107.768	106.261	1.23876	2.576	0.67143	15.702	0.3026	1.44604	1.0334	0.82802	5.63085	1.88	0.41531	0.30175	46.4	52.6	1
3	70.196	0.72487	96.84	1.46629	0.61726	108.838	107.346	112.644	116.606	118.11	0.9215	2.514	0.56071	16.05	0.31131	1.28326	1.01211	0.7911	5.51958	1.61	0.42884	0.44446	46	40	14
